locs,techs,timesteps,resource
region2,demand_power,2017-01-08 09:00:00,-56.31
region2,demand_power,2017-01-08 10:00:00,-57.3
region2,demand_power,2017-01-08 11:00:00,-56.82
region2,demand_power,2017-01-08 12:00:00,-55.64
region2,demand_power,2017-01-08 13:00:00,-54.42
region2,demand_power,2017-01-08 14:00:00,-53.81
region2,demand_power,2017-01-08 15:00:00,-54.26
region2,demand_power,2017-01-08 16:00:00,-56.7
region2,demand_power,2017-01-08 17:00:00,-57.5
region2,demand_power,2017-01-08 18:00:00,-56.07
region2,demand_power,2017-01-08 19:00:00,-52.46
region2,demand_power,2017-01-08 20:00:00,-49.52
region2,demand_power,2017-01-08 21:00:00,-47.7
region2,demand_power,2017-01-08 22:00:00,-43.94
region2,demand_power,2017-01-08 23:00:00,-40.82
region2,demand_power,2017-01-09 00:00:00,-50.46
region2,demand_power,2017-01-09 01:00:00,-49.51
region2,demand_power,2017-01-09 02:00:00,-49.56
region2,demand_power,2017-01-09 03:00:00,-50.4
region2,demand_power,2017-01-09 04:00:00,-52.35
region2,demand_power,2017-01-09 05:00:00,-57.33
region2,demand_power,2017-01-09 06:00:00,-62.53
region2,demand_power,2017-01-09 07:00:00,-65.27
region2,demand_power,2017-01-09 08:00:00,-66.64
region2,demand_power,2017-01-09 09:00:00,-67.94
region2,demand_power,2017-01-09 10:00:00,-68.93
region2,demand_power,2017-01-09 11:00:00,-68.45
region2,demand_power,2017-01-09 12:00:00,-67.26
region2,demand_power,2017-01-09 13:00:00,-66.04
region2,demand_power,2017-01-09 14:00:00,-65.44
region2,demand_power,2017-01-09 15:00:00,-65.89
region2,demand_power,2017-01-09 16:00:00,-68.33
region2,demand_power,2017-01-09 17:00:00,-69.13
region2,demand_power,2017-01-09 18:00:00,-67.69
region2,demand_power,2017-01-09 19:00:00,-64.08
region2,demand_power,2017-01-09 20:00:00,-61.14
region2,demand_power,2017-01-09 21:00:00,-59.32
region2,demand_power,2017-01-09 22:00:00,-55.56
region2,demand_power,2017-01-09 23:00:00,-52.44
region2,demand_power,2017-01-10 00:00:00,-52.64
region2,demand_power,2017-01-10 01:00:00,-51.69
region2,demand_power,2017-01-10 02:00:00,-51.74
region2,demand_power,2017-01-10 03:00:00,-52.58
region2,demand_power,2017-01-10 04:00:00,-54.53
region2,demand_power,2017-01-10 05:00:00,-59.51
region2,demand_power,2017-01-10 06:00:00,-64.71
region2,demand_power,2017-01-10 07:00:00,-67.45
region2,demand_power,2017-01-10 08:00:00,-68.82
region2,demand_power,2017-01-10 09:00:00,-70.12
region2,demand_power,2017-01-10 10:00:00,-71.11
region2,demand_power,2017-01-10 11:00:00,-70.63
region2,demand_power,2017-01-10 12:00:00,-69.45
region2,demand_power,2017-01-10 13:00:00,-68.22
region2,demand_power,2017-01-10 14:00:00,-67.62
region2,demand_power,2017-01-10 15:00:00,-68.07
region2,demand_power,2017-01-10 16:00:00,-70.51
region2,demand_power,2017-01-10 17:00:00,-71.31
region2,demand_power,2017-01-10 18:00:00,-69.88
region2,demand_power,2017-01-10 19:00:00,-66.27
region2,demand_power,2017-01-10 20:00:00,-63.32
region2,demand_power,2017-01-10 21:00:00,-61.5
region2,demand_power,2017-01-10 22:00:00,-57.75
region2,demand_power,2017-01-10 23:00:00,-54.62
region2,demand_power,2017-01-11 00:00:00,-52.49
region2,demand_power,2017-01-11 01:00:00,-51.54
region2,demand_power,2017-01-11 02:00:00,-51.59
region2,demand_power,2017-01-11 03:00:00,-52.43
